run_id,scenario,condition,latency,tamper,applicable,target_index,records_clean,m,verifier,detected,expected,errors
silent_violation-monitor-l6-c0-b1-complete,silent_violation,monitor,6,T8b,1,22,22,12,V3,1,D,silent_violation-monitor-l6-c0-b1-complete: checkpoint mismatch; silent_violation-monitor-l6-c0-b1-complete: record count mismatch
silent_violation-monitor-l6-c0-b1-complete,silent_violation,monitor,6,T8b,1,22,22,12,V3p,0,N,
silent_violation-monitor-l6-c0-b1-complete,silent_violation,monitor,6,T8b,1,22,22,12,V4,1,D,silent_violation-monitor-l6-c0-b1-complete: checkpoint mismatch; silent_violation-monitor-l6-c0-b1-complete: record count mismatch; silent_violation-monitor-l6-c0-b1-complete: unsafe approval
silent_violation-monitor-l6-c0-b1-complete,silent_violation,monitor,6,T8b,1,22,22,12,V4p,1,D,unsafe approval
hidden_violation-monitor-l2-c0-b1-complete,hidden_violation,monitor,2,T0,1,,18,10,V1,0,N,
hidden_violation-monitor-l2-c0-b1-complete,hidden_violation,monitor,2,T0,1,,18,10,V2,0,N,
hidden_violation-monitor-l2-c0-b1-complete,hidden_violation,monitor,2,T0,1,,18,10,V3,0,N,
hidden_violation-monitor-l2-c0-b1-complete,hidden_violation,monitor,2,T0,1,,18,10,V3p,0,N,
hidden_violation-monitor-l2-c0-b1-complete,hidden_violation,monitor,2,T0,1,,18,10,V4,0,N,
hidden_violation-monitor-l2-c0-b1-complete,hidden_violation,monitor,2,T0,1,,18,10,V4p,0,N,
hidden_violation-monitor-l2-c0-b1-complete,hidden_violation,monitor,2,T1,1,9,18,10,V1,1,D,invalid chain at 9
